かいます,飼います,"keep,raise"
たてます,建てます,build
はしります,走ります,"run,drive"
とります,取り増す,take
みえます,見えます,can be seen
きこえます,聞こえます,can be heard
できます,,"be made, be completed"
ひらきます,開きます,"set up, open, hold"
ペット,,pet
とり,鳥,bird
こえ,声,voice
なみ,波,wave
はなび,花火,fireworks
けしき,景色,"scenery, view"
ひるま,昼間,daytime
むかし,昔,"old days, ancient times"
どうぐ,道具,"tool, instrument, equipment"
じどうはんばいき,自動販売機,vending machine
クリーニング,,"cleaning, laundry"
マンション,,"condominium, apartment house"
だいどころ,台所,kitchen
～きょうしつ,～教室,~class
～ご,～後,after~
～しか,,~only
ほかの,,other
はっきり,,clearly
ほとんど,,almost all
ほんだな,本棚,bookshelf
ゆめ,夢,dream
いつか,,"someday, sometime"
いえ,家,"house, home"
すばらしい,,"marvelous, wonderful"
だいすきな,大好きな,like very much
かたち,形,shape
ロボット,,robot
ふしぎな,不思議な,fantastic
ポケット,,pocket
たとえば,例えば,for example
つけます,付けます,"attach, put on"
つきます,着きます,arrive
そら,空,sky
とびます,飛びます,fly
じぶん,自分,oneself
しばらく,,a little while
たいてい,,"usually, mostly"
それに,,in addition
それで,,"and so, that’s why"
うーん,,"well, let me see, hmmm.."
おしゃべりします,,chat
おしらせ,,notice
ひにち,,date
むりょう,無料,free of charge
かいます,飼います,"keep,raise"
たてます,建てます,build
はしります,走ります,"run,drive"
とります,取り増す,take
みえます,見えます,can be seen
きこえます,聞こえます,can be heard
できます,,"be made, be completed"
ひらきます,開きます,"set up, open, hold"
ペット,,pet
とり,鳥,bird
こえ,声,voice
なみ,波,wave
はなび,花火,fireworks
けしき,景色,"scenery, view"
ひるま,昼間,daytime
むかし,昔,"old days, ancient times"
どうぐ,道具,"tool, instrument, equipment"
じどうはんばいき,自動販売機,vending machine
クリーニング,,"cleaning, laundry"
マンション,,"condominium, apartment house"
だいどころ,台所,kitchen
～きょうしつ,～教室,~class
～ご,～後,after~
～しか,,~only
ほかの,,other
はっきり,,clearly
ほとんど,,almost all
ほんだな,本棚,bookshelf
ゆめ,夢,dream
いつか,,"someday, sometime"
いえ,家,"house, home"
すばらしい,,"marvelous, wonderful"
だいすきな,大好きな,like very much
かたち,形,shape
ロボット,,robot
ふしぎな,不思議な,fantastic
ポケット,,pocket
たとえば,例えば,for example
つけます,付けます,"attach, put on"
つきます,着きます,arrive
そら,空,sky
とびます,飛びます,fly
じぶん,自分,oneself
しばらく,,a little while
たいてい,,"usually, mostly"
それに,,in addition
それで,,"and so, that’s why"
うーん,,"well, let me see, hmmm.."
おしゃべりします,,chat
おしらせ,,notice
ひにち,,date
むりょう,無料,free of charge
うれます,売れます,"sell, be sold"
おどります,踊ります,dance
かみます,,"chew, bite"
えらびます,選びます,choose
ちがいます,違います,be different
かよいます,通います,go to and from
メモします,,take a memo
まじめな,,serius
ねっしんな,熱心な,earnest
やさしい,優しい,"gentle, kind"
えらい,偉い,"great, admirable"
ちょうづいい,,"proper, just right"
しゅうかん,習慣,custom
けいけん,経験,experience
ちから,力,power
にんき,人気,popularity
いろ,色,color
あじ,味,taste
ガム,,gum
しなもの,品物,goods
ねだん,値段,price
ボーナス,,bonus
ばんぐみ,番組,program
ドラマ,,drama
しょうせつ,小説,novel
しょうせつか,小説家,novelist
かしゅ,歌手,singer
かんりにん,管理人,janitor
むすこ,息子,(my)son
むすめ,娘,(my)daughter
じぶん,自分,oneself
はります,,"put up, post, paste"
かけます,掛けます,hang
かざります,飾ります,"display,decorate"
ならべます,並べます,"arrange, line up"
うえます,植えます,plant
もどします,戻します,"return, put ~ back"
まとめます,,"put ~ together, put ~ in shape, sum up"
かたづけます,片付けます,"out things in order, tidy up"
しまいます,,put things in their proper place
きめます,決めます,decide
しらせます,知らせます,inform
そうだんします,相談します,"consult, discuss"
よしゅうします,予習します,prepare one's lesson
ふくしゅうします,復習します,review one's lesson
そのままにします,,leave things as they are
おこさん,お子さん,(someone else's) child
じゅぎょう,授業,class
こうぎ,講義,lecture
ミーティング,,meeting 
よてい,予定,"plan, schedule"
おしらせ,お知らせ,notice
あんないしょ,案内書,guide book
カレンダー,,calendar
ポスター,,poster
ごみばこ,ごみ箱,"trash can, dustbin"
にんぎょう,人形,doll
かびん,花瓶,vase
かがみ,鏡,mirror
ひきだし,引き出し,drawer
げんかん,玄関,"front door, porch, entrance hall"
ろうか,廊下,"corridor, hallway"
かべ,壁,wall
いけ,池,pond
こうばん,交番,police box
もとのところ,元の所,original place
まわり,周り,"round, around"
まんなか,真ん中,center
すみ,隅,corner
まだ,,still
～ほど,,about~
よていひょう,予定表,schedule
きぼう,希望,"hope, request"
ちきゅう,地球,earth
うれしい,,"glad, happy"
いやな,嫌な,hatefulm disagreeable
すると,,"and, then"
はります,,"put up, post, paste"
かけます,掛けます,hang
かざります,飾ります,"display,decorate"
ならべます,並べます,"arrange, line up"
うえます,植えます,plant
もどします,戻します,"return, put ~ back"
まとめます,,"put ~ together, put ~ in shape, sum up"
かたづけます,片付けます,"out things in order, tidy up"
しまいます,,put things in their proper place
きめます,決めます,decide
しらせます,知らせます,inform
そうだんします,相談します,"consult, discuss"
よしゅうします,予習します,prepare one's lesson
ふくしゅうします,復習します,review one's lesson
そのままにします,,leave things as they are
おこさん,お子さん,(someone else's) child
じゅぎょう,授業,class
こうぎ,講義,lecture
ミーティング,,meeting 
よてい,予定,"plan, schedule"
おしらせ,お知らせ,notice
あんないしょ,案内書,guide book
カレンダー,,calendar
ポスター,,poster
ごみばこ,ごみ箱,"trash can, dustbin"
にんぎょう,人形,doll
かびん,花瓶,vase
かがみ,鏡,mirror
ひきだし,引き出し,drawer
げんかん,玄関,"front door, porch, entrance hall"
ろうか,廊下,"corridor, hallway"
かべ,壁,wall
いけ,池,pond
こうばん,交番,police box
もとのところ,元の所,original place
まわり,周り,"round, around"
まんなか,真ん中,center
すみ,隅,corner
まだ,,still
～ほど,,about~
よていひょう,予定表,schedule
きぼう,希望,"hope, request"
ちきゅう,地球,earth
うれしい,,"glad, happy"
いやな,嫌な,hatefulm disagreeable
すると,,"and, then"
うんどうします,運動します,take exercise
せいこうします,成功します,succeed
しっぱいします,失敗します,fail
ごうかくします,合格します,pass
もどるます,戻ります,return
やみます,,stop
はれます,晴れます,clear up
くもります,曇ります,get cloudy
ふきます,吹きます,blow
つづきます,続きます,continue
ひきます,,catch
ひやします,冷やします,cool
しんぱいな,心配な,"worried, anxious"
ぎゅうぶんな,十分な,"enough, sufficient"
おかしい,,"strange, funny"
うるさい,,noisy
やけど,,burning
けが,,injury
せき,,cough
インフルエンザ,,influenza
そら,空,sky
たいよう,太陽,sun
ほし,星,star
つき,月,moon
かぜ,風,wind
きた,北,north
みなみ,南,south
にし,西,west
ひがし,東,east
すいどう,水道,"faucet, tap, water supply"
エンジン,,engine
チーム,,team
こんや,今夜,this evening
ゆうがた,夕方,late afternoon
まえ,,"a time in the past, before"
おそく,遅く,late
こんなに,,like this
そんなに,,like that(related to listener)
あんなに,,"that much, like that(related to speaker/listener)"
もしかしたら,,"possibly, perhaps"
それはいけませんね,,That's too bad
げんき,元気,vigor
い,胃,stomach
はたらきすぎ,働きすぎ,working too much
ストレス,,stress
むりをします,無理をします,work more than one's capacity
ゆうくりします,,take time
ほしうらない,星占い,horoscope
おうしざ,牡牛座,Taurus
こまります,困ります,"be in trouble, have a problem"
たからくじ,宝くじ,lottery
あたります,当たります,win
けんこう,健康,health
れんあい,恋愛,romantic love
こいびと,恋人,"sweethear, boyfriend, girlfriend"
おかねもち,お金持ち,rich person
うんどうします,運動します,take exercise
せいこうします,成功します,succeed
しっぱいします,失敗します,fail
ごうかくします,合格します,pass
もどるます,戻ります,return
やみます,,stop
はれます,晴れます,clear up
くもります,曇ります,get cloudy
ふきます,吹きます,blow
つづきます,続きます,continue
ひきます,,catch
ひやします,冷やします,cool
しんぱいな,心配な,"worried, anxious"
ぎゅうぶんな,十分な,"enough, sufficient"
おかしい,,"strange, funny"
うるさい,,noisy
やけど,,burning
けが,,injury
せき,,cough
インフルエンザ,,influenza
そら,空,sky
たいよう,太陽,sun
ほし,星,star
つき,月,moon
かぜ,風,wind
きた,北,north
みなみ,南,south
にし,西,west
ひがし,東,east
すいどう,水道,"faucet, tap, water supply"
エンジン,,engine
チーム,,team
こんや,今夜,this evening
ゆうがた,夕方,late afternoon
まえ,,"a time in the past, before"
おそく,遅く,late
こんなに,,like this
そんなに,,like that(related to listener)
あんなに,,"that much, like that(related to speaker/listener)"
もしかしたら,,"possibly, perhaps"
それはいけませんね,,That's too bad
げんき,元気,vigor
い,胃,stomach
はたらきすぎ,働きすぎ,working too much
ストレス,,stress
むりをします,無理をします,work more than one's capacity
ゆうくりします,,take time
ほしうらない,星占い,horoscope
おうしざ,牡牛座,Taurus
こまります,困ります,"be in trouble, have a problem"
たからくじ,宝くじ,lottery
あたります,当たります,win
けんこう,健康,health
れんあい,恋愛,romantic love
こいびと,恋人,"sweethear, boyfriend, girlfriend"
おかねもち,お金持ち,rich person
にげます,,run away
さわぎます,,make a noise
あからめます,,give up
なげます,,throw
まもります,,"keep, follow, obey"
あげます,,"raise, life up"
さげます,,"lower, pull down"
つたえます,,convey( a message)
ちゅういします,,be careful
はずします,,be away
だめな,,"no good, not permitted, impossible"
せき,,seat 
フャイと,,fight
マーク,,mark
ボール,,ball
せんたくき,洗濯機,washing machine
～き,,~machine
きそく,,"regulation, rule"
しようきんし,,Do not use.
たちいりきんし,,Keep out
いりぐち,,entrance
でぐち,,exit
ひじょうぐち,,emergency exit
むりょう,,free of charge
ほんじつきゅうぎょう,,closed today
えいぎょうちゅう,,open for business
しようちゅう,,in use
～ちゅう,,~ing
どういう～,,what kind of~
もう,,any longer
あと～,,~left
ちゅうしゃいはん,駐車違反,parking violation
そりゃあ,,well
～いない,,within~
けいさつ,警察,police station
ぽっきん,,fine
でんぽう,,telegram
ひとびと,,people
きゅうよう,,urgent business
うちます,,send
でんぽうだい,,telegram charge
できるだけ,,as much as possible
みじかく,,"shortly, briefly"
また,,and
たとえば,,for example
キトク,,in a critical condition
おもいびょうき,,serious illness
あす,,tomorrow
るす,,absence
るすばん,,looking after a house during the owner's absence
おいわい,,celebration
なくなります,,"pass away, die"
かなしみ,,"sorrow, sadness"
りょうします,,use
